일자,기온(°C),풍속(km/h),체감온도(°C)
2019-10-01,,,
2019-10-02,,,
2019-10-03,,,
2019-10-04,,,
2019-10-05,,,
2019-10-06,,,
2019-10-07,,,
2019-10-08,,,
2019-10-09,7.9,4.7,7.5
2019-10-10,8.2,3.2,8.4
2019-10-11,,,
2019-10-12,,,
2019-10-13,9.7,2.9,10.2
2019-10-14,9.7,2.5,10.4
2019-10-15,,,
2019-10-16,8.7,3.6,8.8
2019-10-17,9.1,2.5,9.8
2019-10-18,,,
2019-10-19,,,
2019-10-20,9.4,2.2,10.3
2019-10-21,8.3,3.6,8.4
2019-10-22,,,
2019-10-23,,,
2019-10-24,,,
2019-10-25,,,
2019-10-26,,,
2019-10-27,8,5.8,7.2
2019-10-28,3.9,2.9,3.9
2019-10-29,7.7,4.7,7.3
2019-10-30,6.7,4,6.4
2019-10-31,5.6,2.5,6
2019-11-01,8.7,5.8,8
2019-11-02,7.5,3.6,7.5
2019-11-03,9.8,2.2,10.7
2019-11-04,8.2,2.5,8.8
2019-11-05,6.1,4.3,5.6
2019-11-06,6.8,3.2,6.9
2019-11-07,8.5,3.6,8.6
2019-11-08,3,5,1.8
2019-11-09,1.1,5.4,-0.5
2019-11-10,2.8,3.2,2.5
2019-11-11,7.9,3.2,8.1
2019-11-12,6.6,7.2,5.2
2019-11-13,3.6,3.2,3.4
2019-11-14,2.5,11.5,-0.7
2019-11-15,-2.1,5,-4
2019-11-16,6,3.2,6
2019-11-17,6.7,6.8,5.4
2019-11-18,4.8,11.2,2.2
2019-11-19,2.1,6.8,0.1
2019-11-20,0.3,8.3,-2.5
2019-11-21,-2.8,3.2,-3.7
2019-11-22,1,3.6,0.3
2019-11-23,3.2,3.2,2.9
2019-11-24,6.9,4,6.6
2019-11-25,5.2,14,2.2
2019-11-26,6.9,4.3,6.5
2019-11-27,4.7,6.1,3.3
2019-11-28,2,5,0.7
2019-11-29,0,4.3,-1.2
2019-11-30,-2,2.9,-2.5
2019-12-01,5.6,7.2,4.1
2019-12-02,0.9,7.6,-1.6
2019-12-03,0.3,7.6,-2.3
2019-12-04,0.5,4.3,-0.7
2019-12-05,-2.6,7.9,-5.8
2019-12-06,-5.9,8.3,-9.8
2019-12-07,-4.2,6.8,-7.2
2019-12-08,-2.3,4,-3.6
2019-12-09,-4.7,3.2,-5.7
2019-12-10,-1.2,3.2,-1.9
2019-12-11,0.7,3.2,0.2
2019-12-12,-1.5,4.3,-2.9
2019-12-13,-4.3,3.2,-5.3
2019-12-14,-1.2,4.3,-2.6
2019-12-15,-1.4,5,-3.2
2019-12-16,-0.5,2.9,-0.9
2019-12-17,2,4,1.2
2019-12-18,2.7,7.2,0.7
2019-12-19,0.3,9,-2.7
2019-12-20,-0.6,6.8,-3
2019-12-21,-3.5,4.7,-5.4
2019-12-22,-2.8,2.9,-3.4
2019-12-23,-1.5,5.8,-3.7
2019-12-24,-1.6,4.7,-3.3
2019-12-25,-4.4,3.2,-5.4
2019-12-26,2.5,14,-1.2
2019-12-27,-0.1,13.3,-4.2
2019-12-28,-5.5,2.2,-5.7
2019-12-29,-4.3,2.9,-5.1
2019-12-30,1.2,11.5,-2.2
2019-12-31,-5,15.5,-10.7
2020-01-01,-4.6,11.5,-9.2
2020-01-02,-1.3,4.3,-2.7
2020-01-03,0.8,6.5,-1.3
2020-01-04,-1.3,6.1,-3.6
2020-01-05,-4.5,2.5,-4.9
2020-01-06,-1.6,4,-2.9
2020-01-07,2,4,1.2
2020-01-08,5.2,14,2.2
2020-01-09,0,9.4,-3.2
2020-01-10,-2.9,5.4,-5.1
2020-01-11,0.4,11.2,-3.1
2020-01-12,1.8,16.2,-2.4
2020-01-13,-0.7,10.8,-4.4
2020-01-14,-0.6,10.8,-4.2
2020-01-15,-3.3,7.6,-6.5
2020-01-16,-1.7,10.1,-5.4
2020-01-17,-2.1,3.6,-3.2
2020-01-18,0.5,7.2,-1.9
2020-01-19,-1.7,6.1,-4
2020-01-20,2.2,17.6,-2.1
2020-01-21,-2.6,8.3,-5.9
2020-01-22,-0.1,4,-1.2
2020-01-23,1.9,6.5,0
2020-01-24,0.2,2.5,0.2
2020-01-25,2.7,3.6,2.2
2020-01-26,0.7,4,-0.3
2020-01-27,4.9,8.3,2.9
2020-01-28,4.3,6.5,2.8
2020-01-29,4.4,4.3,3.7
2020-01-30,3.2,5.8,1.7
2020-01-31,3.5,11.2,0.6
2020-02-01,-1.8,4,-3.1
2020-02-02,-1.1,4.3,-2.5
2020-02-03,-0.4,9.7,-3.7
2020-02-04,-4.4,4.3,-6.2
2020-02-05,-4.7,14,-10
2020-02-06,-7.8,8.3,-12
2020-02-07,-6.8,4,-8.7
2020-02-08,0.3,8.3,-2.5
2020-02-09,-4.2,6.1,-6.9
2020-02-10,0.7,4.7,-0.7
2020-02-11,-2.3,3.6,-3.4
2020-02-12,6.2,4.3,5.7
2020-02-13,4.8,4.7,4
2020-02-14,3.2,4,2.5
2020-02-15,3.7,4.3,2.9
2020-02-16,0,13.7,-4.2
2020-02-17,-3.3,16.9,-8.9
2020-02-18,-3.4,14.8,-8.6
2020-02-19,-2.7,6.5,-5.3
2020-02-20,-0.9,4,-2.1
2020-02-21,-0.7,4,-1.9
2020-02-22,2.8,16.2,-1.2
2020-02-23,0.7,8.6,-2.1
2020-02-24,-2.5,3.6,-3.6
2020-02-25,5.7,7.2,4.2
2020-02-26,6.2,5.8,5.2
2020-02-27,3.7,4,3.1
2020-02-28,3,8.3,0.7
2020-02-29,2.5,5.8,0.9
2020-03-01,1.5,4,0.6
2020-03-02,2.8,5.4,1.4
2020-03-03,1.2,5.8,-0.6
2020-03-04,1.4,17.3,-3.1
2020-03-05,-0.6,9,-3.8
2020-03-06,-2.6,3.6,-3.7
2020-03-07,2,3.6,1.4
2020-03-08,1.9,6.8,-0.1
2020-03-09,2,3.6,1.4
2020-03-10,5.2,10.4,2.8
2020-03-11,3,13,-0.4
2020-03-12,-1.3,4.7,-2.9
2020-03-13,5.9,13,3.2
2020-03-14,1.5,13.7,-2.3
2020-03-15,2.1,12.2,-1.3
2020-03-16,0.7,9.4,-2.3
2020-03-17,0,5.8,-1.9
2020-03-18,1.8,5.4,0.3
2020-03-19,5,5.4,3.9
2020-03-20,7.3,17.6,4.2
2020-03-21,3.3,5.4,2
2020-03-22,,,
2020-03-23,6.4,5.8,5.4
2020-03-24,3.6,6.1,2.1
2020-03-25,3.6,3.2,3.4
2020-03-26,8.8,5.8,8.1
2020-03-27,8.4,14.4,6
2020-03-28,4.7,8.6,2.6
2020-03-29,2.2,3.6,1.6
2020-03-30,5.4,4.3,4.8
2020-03-31,5,4.7,4.2
2020-04-01,7.9,7.2,6.7
2020-04-02,3.6,4.3,2.8
2020-04-03,5.4,6.5,4
2020-04-04,4.9,4,4.4
2020-04-05,2.2,5,0.9
2020-04-06,1.7,4.7,0.5
2020-04-07,7,4.7,6.5
2020-04-08,6.2,4.3,5.7
2020-04-09,4.2,4,3.6
2020-04-10,7.2,3.6,7.1
2020-04-11,5.7,5,4.9
2020-04-12,5.4,3.6,5.1
2020-04-13,6.1,6.8,4.7
2020-04-14,2.3,4,1.5
2020-04-15,5.5,4,5.1
2020-04-16,6.6,5,5.9
2020-04-17,9.6,10.4,8.1
2020-04-18,,,
2020-04-19,8.8,5,8.4
2020-04-20,9.5,10.8,7.9
2020-04-21,6.3,18.4,2.9
2020-04-22,6,18.4,2.5
2020-04-23,5.3,11.5,2.7
2020-04-24,4.8,6.5,3.3
2020-04-25,4.8,4,4.3
2020-04-26,7.5,5.4,6.8
2020-04-27,6.2,3.6,6
2020-04-28,5.7,2.2,6.3
2020-04-29,7.6,5,7
2020-04-30,7.6,3.2,7.8
